RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
 2042 2267     0     0  con    0  1.0D+00  1.2D-01  1.874D-03  8.455D-01
 2043 2268     0     0  con    0  1.0D+00  8.7D-02  2.490D-03  8.454D-01
 2044 2269     0     0  con    0  1.0D+00  3.9D-02  2.540D-03  8.453D-01
 2045 2270     0     0  con    0  1.0D+00  2.6D-02  1.236D-03  8.453D-01
 2046 2271     0     0  con    0  1.0D+00  2.7D-02  9.096D-04  8.452D-01
 2047 2272     0     0  con    0  1.0D+00  2.6D-02  1.800D-03  8.452D-01
 2048 2273     0     0  con    0  1.0D+00  8.0D-02  2.949D-03  8.450D-01
 2049 2275     0     0  con    1  4.5D-01  8.2D-02  2.472D-03  8.450D-01
 2050 2276     0     0  con    0  1.0D+00  1.3D-01  1.001D-03  8.449D-01
 2051 2277     0     0  con    0  1.0D+00  7.2D-02  6.721D-04  8.447D-01
 2052 2278     0     0  con    0  1.0D+00  1.0D-01  1.634D-03  8.446D-01
 2053 2279     0     0  con    0  1.0D+00  4.6D-02  4.094D-03  8.446D-01
 2054 2280     0     0  con    0  1.0D+00  1.5D-02  1.645D-03  8.446D-01
 2055 2281     0     0  con    0  1.0D+00  7.8D-03  1.463D-03  8.445D-01
 2056 2282     0     0  con    0  1.0D+00  3.3D-02  1.821D-03  8.444D-01
 2057 2283     0     0  con    0  1.0D+00  6.6D-02  1.335D-03  8.443D-01
 2058 2285     0     0  con    1  3.8D-01  2.8D-02  2.530D-03  8.443D-01
 2059 2286     0     0  con    0  1.0D+00  9.2D-02  9.095D-04  8.442D-01
 2060 2287     0     0  con    0  1.0D+00  5.2D-02  1.254D-03  8.442D-01
 2061 2288     0     0  con    0  1.0D+00  7.8D-02  2.434D-03  8.441D-01
 2062 2289     0     0  con    0  1.0D+00  1.0D-01  2.468D-03  8.440D-01
 2063 2291     0     0  con    1  2.3D-01  3.0D-02  3.521D-03  8.439D-01
 2064 2292     0     0  con    0  1.0D+00  1.3D-01  1.620D-03  8.438D-01
 2065 2293     0     0  con    0  1.0D+00  6.0D-02  1.085D-03  8.437D-01
 2066 2294     0     0  con    0  1.0D+00  4.2D-02  1.149D-03  8.436D-01
 2067 2295     0     0  con    0  1.0D+00  8.6D-02  1.968D-03  8.435D-01
 2068 2296     0     0  con    0  1.0D+00  1.8D-01  2.330D-03  8.433D-01
 2069 2298     0     0  con    1  5.3D-01  2.0D-01  3.249D-03  8.432D-01
 2070 2299     0     0  con    0  1.0D+00  8.2D-02  2.748D-03  8.431D-01
 2071 2300     0     0  con    0  1.0D+00  8.1D-03  1.772D-03  8.431D-01
 2072 2301     0     0  con    0  1.0D+00  2.3D-02  1.365D-03  8.430D-01
 2073 2302     0     0  con    0  1.0D+00  6.6D-02  1.209D-03  8.429D-01
 2074 2303     0     0  con    0  1.0D+00  8.3D-02  1.126D-03  8.428D-01
 2075 2304     0     0  con    0  1.0D+00  8.3D-02  2.214D-03  8.428D-01
 2076 2305     0     0  con    0  1.0D+00  7.0D-02  6.921D-04  8.427D-01
 2077 2306     0     0  con    0  1.0D+00  1.5D-02  1.257D-03  8.427D-01
 2078 2307     0     0  con    0  1.0D+00  7.3D-02  2.398D-03  8.426D-01
 2079 2308     0     0  con    0  1.0D+00  1.3D-01  2.669D-03  8.424D-01
 2080 2309     0     0  con    0  1.0D+00  2.6D-01  3.443D-03  8.422D-01
 2081 2310     0     0  con    0  1.0D+00  3.1D-01  3.947D-03  8.421D-01
 2082 2311     0     0  con    0  1.0D+00  1.1D-01  4.935D-03  8.421D-01
 2083 2312     0     0  con    0  1.0D+00  8.2D-02  9.171D-04  8.419D-01
 2084 2313     0     0  con    0  1.0D+00  1.6D-02  1.053D-03  8.419D-01
 2085 2314     0     0  con    0  1.0D+00  1.1D-02  1.194D-03  8.419D-01
 2086 2315     0     0  con    0  1.0D+00  2.9D-02  1.150D-03  8.418D-01
 2087 2316     0     0  con    0  1.0D+00  3.9D-02  1.172D-03  8.417D-01
 2088 2318     0     0  con    1  2.9D-01  4.3D-02  1.826D-03  8.417D-01
 2089 2319     0     0  con    0  1.0D+00  1.5D-02  5.786D-04  8.417D-01
 2090 2320     0     0  con    0  1.0D+00  2.0D-02  9.056D-04  8.416D-01
 2091 2321     0     0  con    0  1.0D+00  2.7D-02  1.176D-03  8.416D-01
 2092 2322     0     0  con    0  1.0D+00  8.1D-02  1.930D-03  8.415D-01
 2093 2323     0     0  con    0  1.0D+00  1.2D-01  5.808D-03  8.414D-01
 2094 2324     0     0  con    0  1.0D+00  1.1D-01  2.323D-03  8.413D-01
 2095 2325     0     0  con    0  1.0D+00  9.6D-03  1.367D-03  8.412D-01
 2096 2326     0     0  con    0  1.0D+00  1.2D-01  8.396D-04  8.411D-01
 2097 2327     0     0  con    0  1.0D+00  3.3D-02  9.502D-04  8.410D-01
 2098 2328     0     0  con    0  1.0D+00  1.0D-01  9.857D-04  8.410D-01
 2099 2329     0     0  con    0  1.0D+00  1.9D-01  2.216D-03  8.409D-01
 2100 2331     0     0  con    1  4.8D-01  1.6D-02  8.709D-04  8.409D-01
 2101 2332     0     0  con    0  1.0D+00  3.2D-02  1.012D-03  8.408D-01
 2102 2333     0     0  con    0  1.0D+00  2.7D-02  1.039D-03  8.408D-01
 2103 2334     0     0  con    0  1.0D+00  1.4D-01  9.280D-04  8.407D-01
 2104 2335     0     0  con    0  1.0D+00  2.2D-01  1.581D-03  8.405D-01
 2105 2337     0     0  con    1  2.2D-01  8.1D-02  2.252D-03  8.405D-01
 2106 2338     0     0  con    0  1.0D+00  9.0D-02  1.296D-03  8.404D-01
 2107 2339     0     0  con    0  1.0D+00  1.9D-01  6.629D-04  8.404D-01
 2108 2340     0     0  con    0  1.0D+00  1.1D-01  7.658D-04  8.403D-01
 2109 2341     0     0  con    0  1.0D+00  1.9D-01  1.122D-03  8.402D-01
 2110 2343     0     0  con    1  4.1D-01  1.2D-01  2.959D-03  8.402D-01
 2111 2344     0     0  con    0  1.0D+00  1.0D-01  1.453D-03  8.401D-01
 2112 2345     0     0  con    0  1.0D+00  2.5D-02  6.542D-04  8.400D-01
 2113 2346     0     0  con    0  1.0D+00  3.6D-02  6.735D-04  8.400D-01
 2114 2347     0     0  con    0  1.0D+00  2.5D-02  8.914D-04  8.400D-01
 2115 2348     0     0  con    0  1.0D+00  5.6D-02  1.190D-03  8.399D-01
 2116 2349     0     0  con    0  1.0D+00  2.3D-01  5.844D-03  8.398D-01
 2117 2350     0     0  con    0  1.0D+00  1.3D-01  1.061D-03  8.397D-01
 2118 2351     0     0  con    0  1.0D+00  6.9D-02  7.815D-04  8.397D-01
 2119 2352     0     0  con    0  1.0D+00  9.6D-02  5.436D-04  8.396D-01
 2120 2353     0     0  con    0  1.0D+00  7.6D-02  5.683D-04  8.396D-01
 2121 2355     0     0  con    1  4.9D-01  2.1D-02  1.521D-03  8.396D-01
 2122 2356     0     0  con    0  1.0D+00  6.0D-02  1.459D-03  8.395D-01
 2123 2357     0     0  con    0  1.0D+00  3.2D-02  2.548D-03  8.395D-01
 2124 2358     0     0  con    0  1.0D+00  4.4D-02  7.877D-04  8.395D-01
 2125 2359     0     0  con    0  1.0D+00  3.7D-02  6.283D-04  8.395D-01
 2126 2360     0     0  con    0  1.0D+00  3.7D-02  7.861D-04  8.394D-01
 2127 2361     0     0  con    0  1.0D+00  2.4D-02  1.363D-03  8.394D-01
 2128 2362     0     0  con    0  1.0D+00  7.1D-02  3.214D-03  8.393D-01
 2129 2363     0     0  con    0  1.0D+00  1.7D-01  1.426D-03  8.393D-01
 2130 2364     0     0  con    0  1.0D+00  7.2D-02  7.073D-04  8.392D-01
 2131 2365     0     0  con    0  1.0D+00  1.2D-01  9.044D-04  8.392D-01
 2132 2366     0     0  con    0  1.0D+00  4.9D-02  9.274D-04  8.391D-01
 2133 2367     0     0  con    0  1.0D+00  2.4D-01  7.211D-04  8.390D-01
 2134 2369     0     0  con    1  3.9D-01  9.7D-02  3.029D-03  8.390D-01
 2135 2370     0     0  con    0  1.0D+00  1.8D-01  1.033D-03  8.389D-01
 2136 2372     0     0  con    1  4.5D-01  1.1D-01  2.804D-03  8.388D-01
 2137 2373     0     0  con    0  1.0D+00  4.9D-02  1.295D-03  8.388D-01
 2138 2374     0     0  con    0  1.0D+00  2.1D-02  7.699D-04  8.387D-01
 2139 2375     0     0  con    0  1.0D+00  6.4D-02  9.584D-04  8.387D-01
 2140 2376     0     0  con    0  1.0D+00  1.1D-01  2.396D-03  8.386D-01
 2141 2377     0     0  con    0  1.0D+00  1.4D-01  1.858D-03  8.386D-01
 2142 2378     0     0  con    0  1.0D+00  1.3D-02  7.314D-04  8.385D-01
 2143 2379     0     0  con    0  1.0D+00  2.1D-02  6.774D-04  8.385D-01
 2144 2380     0     0  con    0  1.0D+00  2.1D-02  8.296D-04  8.385D-01
 2145 2381     0     0  con    0  1.0D+00  7.8D-02  1.252D-03  8.385D-01
 2146 2382     0     0  con    0  1.0D+00  1.3D-01  1.630D-03  8.384D-01
 2147 2383     0     0  con    0  1.0D+00  2.0D-01  3.608D-03  8.383D-01
 2148 2384     0     0  con    0  1.0D+00  1.9D-01  3.752D-03  8.382D-01
 2149 2385     0     0  con    0  1.0D+00  7.3D-02  1.059D-03  8.381D-01
 2150 2386     0     0  con    0  1.0D+00  1.8D-02  7.169D-04  8.381D-01
 2151 2387     0     0  con    0  1.0D+00  2.4D-02  8.528D-04  8.381D-01
 2152 2388     0     0  con    0  1.0D+00  8.6D-02  1.756D-03  8.380D-01
 2153 2389     0     0  con    0  1.0D+00  1.8D-01  3.420D-03  8.380D-01
 2154 2390     0     0  con    0  1.0D+00  1.7D-02  6.599D-04  8.379D-01
 2155 2391     0     0  con    0  1.0D+00  3.4D-02  6.966D-04  8.379D-01
 2156 2392     0     0  con    0  1.0D+00  6.6D-02  6.974D-04  8.379D-01
 2157 2393     0     0  con    0  1.0D+00  4.2D-02  2.000D-03  8.378D-01
 2158 2394     0     0  con    0  1.0D+00  6.0D-01  3.103D-03  8.378D-01
 2159 2396     0     0  con    1  3.3D-01  1.8D-02  1.330D-03  8.377D-01
 2160 2397     0     0  con    0  1.0D+00  1.9D-01  1.077D-03  8.377D-01
 2161 2398     0     0  con    0  1.0D+00  4.0D-02  6.858D-04  8.376D-01
 2162 2399     0     0  con    0  1.0D+00  7.0D-02  1.024D-03  8.375D-01
 2163 2400     0     0  con    0  1.0D+00  1.6D-01  1.395D-03  8.375D-01
 2164 2401     0     0  con    0  1.0D+00  1.0D-01  1.018D-03  8.374D-01
 2165 2402     0     0  con    0  1.0D+00  7.6D-02  1.800D-03  8.374D-01
 2166 2403     0     0  con    0  1.0D+00  1.7D-02  1.018D-03  8.374D-01
 2167 2404     0     0  con    0  1.0D+00  2.9D-02  5.430D-04  8.374D-01
 2168 2405     0     0  con    0  1.0D+00  3.5D-02  5.374D-04  8.374D-01
 2169 2406     0     0  con    0  1.0D+00  2.7D-02  9.375D-04  8.374D-01
 2170 2407     0     0  con    0  1.0D+00  3.5D-02  1.644D-03  8.373D-01
 2171 2408     0     0  con    0  1.0D+00  1.1D-01  1.649D-03  8.373D-01
 2172 2409     0     0  con    0  1.0D+00  1.2D-01  7.466D-04  8.372D-01
 2173 2410     0     0  con    0  1.0D+00  7.2D-02  7.242D-04  8.372D-01
 2174 2411     0     0  con    0  1.0D+00  1.7D-01  1.590D-03  8.372D-01
 2175 2412     0     0  con    0  1.0D+00  9.5D-02  1.465D-03  8.371D-01
 2176 2413     0     0  con    0  1.0D+00  1.9D-01  2.359D-03  8.370D-01
 2177 2414     0     0  con    0  1.0D+00  6.6D-02  2.815D-03  8.370D-01
 2178 2415     0     0  con    0  1.0D+00  1.3D-02  5.092D-04  8.369D-01
 2179 2416     0     0  con    0  1.0D+00  3.4D-02  8.659D-04  8.369D-01
 2180 2417     0     0  con    0  1.0D+00  1.2D-02  9.700D-04  8.369D-01
 2181 2418     0     0  con    0  1.0D+00  8.5D-02  1.799D-03  8.368D-01
 2182 2419     0     0  con    0  1.0D+00  1.7D-01  2.677D-03  8.368D-01
 2183 2420     0     0  con    0  1.0D+00  8.7D-03  1.005D-03  8.368D-01
 2184 2421     0     0  con    0  1.0D+00  2.2D-02  7.941D-04  8.368D-01
 2185 2422     0     0  con    0  1.0D+00  3.9D-02  1.044D-03  8.367D-01
 2186 2423     0     0  con    0  1.0D+00  6.0D-02  1.335D-03  8.366D-01
 2187 2424     0     0  con    0  1.0D+00  5.1D-02  2.582D-03  8.366D-01
 2188 2426     0     0  con    1  4.8D-01  2.8D-02  1.977D-03  8.366D-01
 2189 2427     0     0  con    0  1.0D+00  3.6D-02  9.223D-04  8.365D-01
 2190 2428     0     0  con    0  1.0D+00  4.0D-02  5.529D-04  8.365D-01
 2191 2429     0     0  con    0  1.0D+00  2.7D-02  7.162D-04  8.365D-01
 2192 2430     0     0  con    0  1.0D+00  3.7D-02  1.244D-03  8.364D-01
 2193 2431     0     0  con    0  1.0D+00  7.7D-02  1.860D-03  8.364D-01
 2194 2433     0     0  con    1  3.0D-01  7.3D-02  2.771D-03  8.363D-01
 2195 2434     0     0  con    0  1.0D+00  1.2D-01  1.001D-03  8.363D-01
 2196 2435     0     0  con    0  1.0D+00  1.2D-01  8.593D-04  8.362D-01
 2197 2436     0     0  con    0  1.0D+00  1.4D-01  1.163D-03  8.362D-01
 2198 2437     0     0  con    0  1.0D+00  1.8D-01  1.060D-03  8.361D-01
 2199 2438     0     0  con    0  1.0D+00  2.9D-01  3.093D-03  8.361D-01
 2200 2439     0     0  con    0  1.0D+00  7.0D-02  1.462D-03  8.361D-01
 2201 2440     0     0  con    0  1.0D+00  5.0D-02  5.720D-04  8.361D-01
 2202 2441     0     0  con    0  1.0D+00  2.1D-02  5.617D-04  8.360D-01
 2203 2442     0     0  con    0  1.0D+00  3.2D-02  9.565D-04  8.360D-01
 2204 2443     0     0  con    0  1.0D+00  2.5D-01  6.721D-04  8.360D-01
 2205 2444     0     0  con    0  1.0D+00  3.3D-02  4.849D-04  8.360D-01
 2206 2445     0     0  con    0  1.0D+00  4.3D-02  1.472D-03  8.359D-01
 2207 2446     0     0  con    0  1.0D+00  4.4D-02  5.970D-04  8.359D-01
 2208 2447     0     0  con    0  1.0D+00  7.4D-02  1.129D-03  8.359D-01
 2209 2448     0     0  con    0  1.0D+00  8.8D-02  1.276D-03  8.358D-01
 2210 2449     0     0  con    0  1.0D+00  1.7D-01  2.698D-03  8.358D-01
 2211 2451     0     0  con    1  3.8D-01  5.4D-02  2.353D-03  8.358D-01
 2212 2452     0     0  con    0  1.0D+00  3.8D-02  1.260D-03  8.357D-01
 2213 2453     0     0  con    0  1.0D+00  3.3D-02  5.154D-04  8.357D-01
 2214 2454     0     0  con    0  1.0D+00  2.4D-02  6.437D-04  8.357D-01
 2215 2455     0     0  con    0  1.0D+00  2.8D-02  1.289D-03  8.357D-01
 2216 2456     0     0  con    0  1.0D+00  2.6D-02  1.621D-03  8.357D-01
 2217 2457     0     0  con    0  1.0D+00  4.4D-02  1.341D-03  8.356D-01
 2218 2458     0     0  con    0  1.0D+00  1.0D-01  9.656D-04  8.356D-01
 2219 2460     0     0  con    1  2.8D-01  1.4D-02  8.515D-04  8.356D-01
 2220 2461     0     0  con    0  1.0D+00  3.9D-02  7.692D-04  8.356D-01
 2221 2462     0     0  con    0  1.0D+00  7.4D-02  5.090D-04  8.355D-01
 2222 2463     0     0  con    0  1.0D+00  6.0D-02  2.053D-03  8.355D-01
 2223 2464     0     0  con    0  1.0D+00  4.9D-02  2.062D-03  8.355D-01
 2224 2465     0     0  con    0  1.0D+00  1.7D-02  7.486D-04  8.355D-01
 2225 2466     0     0  con    0  1.0D+00  6.3D-03  5.764D-04  8.354D-01
 2226 2467     0     0  con    0  1.0D+00  2.4D-02  8.452D-04  8.354D-01
 2227 2468     0     0  con    0  1.0D+00  3.8D-02  1.043D-03  8.354D-01
 2228 2469     0     0  con    0  1.0D+00  7.1D-02  7.535D-04  8.354D-01
 2229 2471     0     0  con    1  1.6D-01  3.3D-02  1.483D-03  8.353D-01
 2230 2472     0     0  con    0  1.0D+00  5.0D-02  6.988D-04  8.353D-01
 2231 2473     0     0  con    0  1.0D+00  5.2D-02  3.592D-04  8.353D-01
 2232 2474     0     0  con    0  1.0D+00  4.0D-02  6.659D-04  8.352D-01
 2233 2475     0     0  con    0  1.0D+00  9.7D-02  2.562D-03  8.352D-01
 2234 2476     0     0  con    0  1.0D+00  4.1D-02  4.260D-04  8.352D-01
 2235 2477     0     0  con    0  1.0D+00  3.2D-02  8.408D-04  8.352D-01
 2236 2478     0     0  con    0  1.0D+00  9.2D-02  2.145D-03  8.351D-01
 2237 2479     0     0  con    0  1.0D+00  1.1D-01  1.804D-03  8.351D-01
 2238 2480     0     0  con    0  1.0D+00  4.6D-02  8.696D-04  8.351D-01
 2239 2481     0     0  con    0  1.0D+00  3.9D-02  6.505D-04  8.351D-01
 2240 2482     0     0  con    0  1.0D+00  3.6D-02  5.247D-04  8.351D-01
 2241 2483     0     0  con    0  1.0D+00  5.4D-02  6.970D-04  8.350D-01
 2242 2484     0     0  con    0  1.0D+00  8.6D-02  7.712D-04  8.350D-01
 2243 2486     0     0  con    1  2.6D-01  5.0D-02  1.385D-03  8.350D-01
 2244 2487     0     0  con    0  1.0D+00  4.8D-02  7.855D-04  8.350D-01
 2245 2488     0     0  con    0  1.0D+00  2.7D-02  5.578D-04  8.349D-01
 2246 2489     0     0  con    0  1.0D+00  2.2D-02  6.126D-04  8.349D-01
 2247 2491     0     0  con    1  2.5D-01  4.2D-02  2.091D-03  8.349D-01
 2248 2492     0     0  con    0  1.0D+00  1.5D-02  1.208D-03  8.348D-01
 2249 2493     0     0  con    0  1.0D+00  5.5D-02  6.320D-04  8.348D-01
 2250 2494     0     0  con    0  1.0D+00  6.1D-02  5.971D-04  8.348D-01
 2251 2495     0     0  con    0  1.0D+00  4.5D-02  5.448D-04  8.348D-01
 2252 2496     0     0  con    0  1.0D+00  6.8D-02  1.359D-03  8.348D-01
 2253 2497     0     0  con    0  1.0D+00  6.0D-02  6.417D-04  8.347D-01
 2254 2498     0     0  con    0  1.0D+00  2.0D-02  6.887D-04  8.347D-01
 2255 2499     0     0  con    0  1.0D+00  1.2D-01  1.047D-03  8.347D-01
 2256 2501     0     0  con    1  4.7D-01  4.7D-02  1.176D-03  8.347D-01
 2257 2502     0     0  con    0  1.0D+00  5.7D-02  6.126D-04  8.346D-01
 2258 2503     0     0  con    0  1.0D+00  1.1D-01  7.408D-04  8.346D-01
 2259 2505     0     0  con    1  2.3D-01  1.9D-02  1.537D-03  8.346D-01
 2260 2506     0     0  con    0  1.0D+00  4.0D-02  8.902D-04  8.346D-01
 2261 2507     0     0  con    0  1.0D+00  3.4D-02  7.473D-04  8.345D-01
 2262 2508     0     0  con    0  1.0D+00  2.9D-02  6.130D-04  8.345D-01
 2263 2509     0     0  con    0  1.0D+00  2.9D-02  5.983D-04  8.345D-01
 2264 2511     0     0  con    1  4.5D-01  1.9D-02  1.248D-03  8.344D-01
 2265 2512     0     0  con    0  1.0D+00  2.8D-02  4.838D-04  8.344D-01
 2266 2513     0     0  con    0  1.0D+00  2.0D-02  4.323D-04  8.344D-01
 2267 2514     0     0  con    0  1.0D+00  4.6D-02  5.401D-04  8.344D-01
 2268 2515     0     0  con    0  1.0D+00  6.2D-02  7.478D-04  8.343D-01
 2269 2517     0     0  con    1  3.6D-01  8.8D-02  1.460D-03  8.343D-01
 2270 2518     0     0  con    0  1.0D+00  1.2D-01  1.672D-03  8.342D-01
 2271 2520     0     0  con    1  4.5D-01  3.2D-02  9.586D-04  8.342D-01
 2272 2521     0     0  con    0  1.0D+00  1.5D-02  5.420D-04  8.342D-01
 2273 2522     0     0  con    0  1.0D+00  1.8D-02  3.816D-04  8.342D-01
 2274 2523     0     0  con    0  1.0D+00  3.4D-02  4.468D-04  8.342D-01
 2275 2524     0     0  con    0  1.0D+00  6.7D-02  8.145D-04  8.341D-01
 2276 2526     0     0  con    1  4.3D-01  5.4D-02  1.362D-03  8.341D-01
 2277 2527     0     0  con    0  1.0D+00  5.2D-02  6.502D-04  8.341D-01
 2278 2528     0     0  con    0  1.0D+00  4.0D-02  5.313D-04  8.340D-01
 2279 2529     0     0  con    0  1.0D+00  3.2D-02  5.760D-04  8.340D-01
 2280 2530     0     0  con    0  1.0D+00  8.4D-02  7.881D-04  8.340D-01
 2281 2531     0     0  con    0  1.0D+00  1.0D-01  9.509D-04  8.339D-01
 2282 2533     0     0  con    1  3.3D-01  5.8D-02  1.831D-03  8.339D-01
 2283 2534     0     0  con    0  1.0D+00  2.8D-02  4.549D-04  8.339D-01
 2284 2535     0     0  con    0  1.0D+00  9.2D-03  3.876D-04  8.339D-01
 2285 2536     0     0  con    0  1.0D+00  9.5D-03  5.610D-04  8.339D-01
 2286 2537     0     0  con    0  1.0D+00  5.6D-02  8.214D-04  8.339D-01
 2287 2538     0     0  con    0  1.0D+00  1.1D-01  1.733D-03  8.338D-01
 2288 2539     0     0  con    0  1.0D+00  3.8D-02  7.124D-04  8.338D-01
 2289 2540     0     0  con    0  1.0D+00  5.4D-02  9.086D-04  8.338D-01
 2290 2541     0     0  con    0  1.0D+00  4.8D-02  1.164D-03  8.338D-01
 2291 2542     0     0  con    0  1.0D+00  9.2D-02  1.246D-03  8.337D-01
 2292 2544     0     0  con    1  4.5D-01  6.5D-02  1.371D-03  8.337D-01
 2293 2545     0     0  con    0  1.0D+00  5.2D-02  7.249D-04  8.337D-01
 2294 2546     0     0  con    0  1.0D+00  3.1D-02  1.213D-03  8.337D-01
 2295 2547     0     0  con    0  1.0D+00  1.1D-02  6.807D-04  8.337D-01
 2296 2548     0     0  con    0  1.0D+00  7.7D-03  5.338D-04  8.337D-01
 2297 2549     0     0  con    0  1.0D+00  5.1D-02  7.989D-04  8.336D-01
 2298 2550     0     0  con    0  1.0D+00  5.4D-02  7.987D-04  8.336D-01
 2299 2551     0     0  con    0  1.0D+00  9.8D-02  9.609D-04  8.336D-01
 2300 2552     0     0  con    0  1.0D+00  1.4D-01  1.131D-03  8.336D-01
 2301 2553     0     0  con    0  1.0D+00  3.8D-02  6.236D-04  8.335D-01
 2302 2554     0     0  con    0  1.0D+00  2.4D-02  7.039D-04  8.335D-01
 2303 2555     0     0  con    0  1.0D+00  9.7D-03  5.672D-04  8.335D-01
 2304 2556     0     0  con    0  1.0D+00  5.7D-02  6.951D-04  8.335D-01
 2305 2557     0     0  con    0  1.0D+00  2.8D-02  1.815D-03  8.335D-01
 2306 2558     0     0  con    0  1.0D+00  1.6D-02  1.213D-03  8.335D-01
 2307 2559     0     0  con    0  1.0D+00  2.2D-02  1.088D-03  8.334D-01
 2308 2561     0     0  con    1  3.8D-01  1.6D-02  4.287D-04  8.334D-01
 2309 2562     0     0  con    0  1.0D+00  2.1D-03  3.757D-04  8.334D-01
 2310 2563     0     0  con    0  1.0D+00  9.1D-03  5.018D-04  8.334D-01
 2311 2564     0     0  con    0  1.0D+00  1.3D-02  9.323D-04  8.334D-01
 2312 2566     0     0  con    1  5.2D-01  3.2D-02  7.684D-04  8.334D-01
 2313 2567     0     0  con    0  1.0D+00  2.9D-02  3.673D-04  8.334D-01
 2314 2568     0     0  con    0  1.0D+00  2.2D-02  2.365D-04  8.334D-01
 2315 2569     0     0  con    0  1.0D+00  4.0D-02  3.743D-04  8.333D-01
 2316 2570     0     0  con    0  1.0D+00  6.0D-02  1.024D-03  8.333D-01
 2317 2571     0     0  con    0  1.0D+00  1.5D-01  1.201D-03  8.333D-01
 2318 2572     0     0  con    0  1.0D+00  6.8D-03  5.887D-04  8.333D-01
 2319 2573     0     0  con    0  1.0D+00  4.4D-03  6.633D-04  8.333D-01
 2320 2574     0     0  con    0  1.0D+00  2.6D-02  8.935D-04  8.333D-01
 2321 2575     0     0  con    0  1.0D+00  5.4D-02  1.952D-03  8.333D-01
 2322 2576     0     0  con    0  1.0D+00  3.9D-02  5.749D-04  8.332D-01
 2323 2577     0     0  con    0  1.0D+00  2.9D-02  4.366D-04  8.332D-01
 2324 2578     0     0  con    0  1.0D+00  4.5D-02  6.811D-04  8.332D-01
 2325 2579     0     0  con    0  1.0D+00  4.7D-02  7.663D-04  8.332D-01
 2326 2580     0     0  con    0  1.0D+00  8.9D-02  1.284D-03  8.332D-01
 2327 2581     0     0  con    0  1.0D+00  8.4D-03  4.838D-04  8.332D-01
 2328 2582     0     0  con    0  1.0D+00  1.2D-02  3.460D-04  8.332D-01
 2329 2584     0     0  con    1  3.1D-01  2.2D-02  1.441D-03  8.331D-01
 2330 2585     0     0  con    0  1.0D+00  1.1D-02  7.087D-04  8.331D-01
 2331 2586     0     0  con    0  1.0D+00  3.1D-02  4.689D-04  8.331D-01
 2332 2587     0     0  con    0  1.0D+00  1.1D-01  7.301D-04  8.331D-01
 2333 2588     0     0  con    0  1.0D+00  8.5D-02  6.786D-04  8.331D-01
 2334 2590     0     0  con    1  2.3D-01  3.4D-02  1.645D-03  8.331D-01
 2335 2591     0     0  con    0  1.0D+00  8.3D-02  6.665D-04  8.331D-01
 2336 2592     0     0  con    0  1.0D+00  1.2D-02  3.235D-04  8.331D-01
 2337 2593     0     0  con    0  1.0D+00  8.2D-03  4.277D-04  8.330D-01
 2338 2594     0     0  con    0  1.0D+00  6.1D-03  6.668D-04  8.330D-01
 2339 2595     0     0  con    0  1.0D+00  2.1D-02  1.019D-03  8.330D-01
 2340 2596     0     0  con    0  1.0D+00  5.7D-02  1.170D-03  8.330D-01
 2341 2597     0     0  con    0  1.0D+00  2.1D-02  9.186D-04  8.330D-01
 2342 2598     0     0  con    0  1.0D+00  7.6D-03  4.525D-04  8.330D-01
 2343 2599     0     0  con    0  1.0D+00  1.3D-02  4.299D-04  8.330D-01
 2344 2600     0     0  con    0  1.0D+00  5.1D-02  7.730D-04  8.329D-01
 2345 2601     0     0  con    0  1.0D+00  2.8D-02  5.962D-04  8.329D-01
 2346 2603     0     0  con    1  5.2D-01  2.1D-02  8.945D-04  8.329D-01
 2347 2604     0     0  con    0  1.0D+00  4.1D-03  2.591D-04  8.329D-01
 2348 2605     0     0  con    0  1.0D+00  3.3D-03  4.158D-04  8.329D-01
 2349 2606     0     0  con    0  1.0D+00  4.3D-03  4.957D-04  8.329D-01
 2350 2607     0     0  con    0  1.0D+00  1.8D-02  6.323D-04  8.329D-01
 2351 2608     0     0  con    0  1.0D+00  5.0D-02  7.555D-04  8.329D-01
 2352 2610     0     0  con    1  4.0D-01  6.1D-02  1.236D-03  8.328D-01
 2353 2611     0     0  con    0  1.0D+00  8.3D-02  6.892D-04  8.328D-01
 2354 2612     0     0  con    0  1.0D+00  1.0D-02  5.003D-04  8.328D-01
 2355 2613     0     0  con    0  1.0D+00  4.1D-02  7.027D-04  8.328D-01
 2356 2615     0     0  con    1  4.5D-01  2.5D-02  8.653D-04  8.328D-01
 2357 2616     0     0  con    0  1.0D+00  2.7D-02  8.188D-04  8.328D-01
 2358 2618     0     0  con    1  4.5D-01  7.3D-02  1.773D-03  8.327D-01
 2359 2619     0     0  con    0  1.0D+00  8.2D-02  4.204D-04  8.327D-01
 2360 2621     0     0  con    1  5.0D+00  2.0D-02  5.573D-04  8.327D-01
 2361 2622     0     0  con    0  1.0D+00  1.4D-01  5.067D-04  8.326D-01
