RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        29067     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   88     0     0  con    1  1.5D-01  1.9D-01  2.018D-02  1.712D+00
   73   89     0     0  con    0  1.0D+00  6.4D-01  1.755D-02  1.706D+00
   74   90     0     0  con    0  1.0D+00  1.0D+00  1.851D-02  1.696D+00
   75   91     0     0  con    0  1.0D+00  7.4D-01  1.500D-02  1.690D+00
   76   93     0     0  con    1  1.4D-01  1.8D-01  1.594D-02  1.687D+00
   77   94     0     0  con    0  1.0D+00  4.7D-01  1.866D-02  1.682D+00
   78   95     0     0  con    0  1.0D+00  9.2D-01  7.831D-02  1.681D+00
   79   96     0     0  con    0  1.0D+00  1.1D-01  1.932D-02  1.668D+00
   80   97     0     0  con    0  1.0D+00  2.4D-01  1.475D-02  1.661D+00
   81   98     0     0  con    0  1.0D+00  3.3D-01  1.446D-02  1.658D+00
   82   99     0     0  con    0  1.0D+00  4.9D-01  2.120D-02  1.655D+00
   83  100     0     0  con    0  1.0D+00  7.4D-01  1.189D-02  1.652D+00
   84  101     0     0  con    0  1.0D+00  1.9D-01  7.448D-03  1.649D+00
   85  102     0     0  con    0  1.0D+00  3.8D-01  1.099D-02  1.644D+00
   86  103     0     0  con    0  1.0D+00  7.6D-01  1.606D-02  1.638D+00
   87  105     0     0  con    1  3.6D-01  1.7D-01  1.648D-02  1.636D+00
   88  106     0     0  con    0  1.0D+00  9.2D-01  2.092D-02  1.628D+00
   89  107     0     0  con    0  1.0D+00  6.2D-01  3.620D-02  1.620D+00
   90  108     0     0  con    0  1.0D+00  5.7D-01  1.348D-02  1.613D+00
   91  109     0     0  con    0  1.0D+00  3.1D-01  2.571D-02  1.610D+00
   92  110     0     0  con    0  1.0D+00  2.2D-01  1.672D-02  1.607D+00
   93  111     0     0  con    0  1.0D+00  1.7D-01  1.966D-02  1.604D+00
   94  112     0     0  con    0  1.0D+00  1.0D+00  1.998D-02  1.593D+00
   95  113     0     0  con    0  1.0D+00  7.1D-01  2.134D-02  1.586D+00
   96  114     0     0  con    0  1.0D+00  6.5D-01  1.539D-02  1.578D+00
   97  115     0     0  con    0  1.0D+00  1.1D+00  1.435D-02  1.567D+00
   98  116     0     0  con    0  1.0D+00  1.0D+00  1.550D-02  1.556D+00
   99  117     0     0  con    0  1.0D+00  5.4D-01  1.340D-02  1.549D+00
  100  118     0     0  con    0  1.0D+00  3.9D-01  4.677D-02  1.544D+00
  101  119     0     0  con    0  1.0D+00  2.8D-01  2.785D-02  1.538D+00
  102  120     0     0  con    0  1.0D+00  6.0D-01  9.745D-03  1.529D+00
  103  121     0     0  con    0  1.0D+00  9.1D-01  1.107D-02  1.522D+00
  104  122     0     0  con    0  1.0D+00  1.5D+00  1.513D-02  1.513D+00
  105  124     0     0  con    1  5.0D-01  1.4D+00  4.523D-02  1.508D+00
  106  125     0     0  con    0  1.0D+00  9.3D-01  1.695D-02  1.500D+00
  107  126     0     0  con    0  1.0D+00  5.4D-01  1.543D-02  1.493D+00
  108  127     0     0  con    0  1.0D+00  3.4D-01  4.363D-02  1.490D+00
  109  128     0     0  con    0  1.0D+00  1.4D-01  2.815D-02  1.487D+00
  110  129     0     0  con    0  1.0D+00  2.3D-01  1.792D-02  1.483D+00
  111  130     0     0  con    0  1.0D+00  2.1D-01  1.230D-02  1.479D+00
